,restaurante,nota,numero_de_avaliacoes,tipo,cozinha,custo_para_dois,bairro
0,A Figueira Rubaiyat ,4.4,(51 Opiniões),Refeições de luxo,"Churrasco, Grelhados, Brasileira",R$ 300,Jardim Paulista
1,Terraço Itália ,4.2,(42 Opiniões),Refeições de luxo,Italiana,R$ 400,República
2,Veloso ,4.1,(64 Opiniões),Bar,"Brasileira, Comida de bar, Bebidas",R$ 70,Vila Mariana
3,Skye - Hotel Unique ,4.0,(63 Opiniões),Lounge,"Bebidas, Internacional",R$ 300,"Hotel Unique, Jardim Paulista"
4,Coco Bambú ,4.0,(41 Opiniões),Refeições casuais,Marisqueira,R$ 200,Itaim Bibi
5,Cantina Famiglia Mancini ,4.0,(54 Opiniões),Refeições de luxo,"Italiana, Pizza",R$ 250,"Bela Vista, Centro"
6,Mocotó ,3.9,(32 Opiniões),Refeições casuais,"Brasileira, Nordestina",R$ 120,Vila Maria
7,Z Deli Sandwich Shop ,3.9,(35 Opiniões),Refeições casuais,"Hamburgueria, Sandwich",R$ 50,Jardim Paulista
8,D.O.M. ,3.9,(27 Opiniões),Refeições de luxo,"Contemporânea, Brasileira",R$ 600,Jardim Paulista
9,A Casa do Porco ,3.9,(21 Opiniões),Refeições rápidas,Comida de bar,R$ 100,República
10,Arturito ,3.9,(35 Opiniões),Refeições de luxo,Mediterrânica,R$ 360,Pinheiros
11,Esquina Mocotó ,3.9,(23 Opiniões),Refeições casuais,"Brasileira, Nordestina",R$ 100,Vila Maria
12,Kinoshita ,3.9,(13 Opiniões),Refeições de luxo,Sushi,R$ 230,Moema
13,Sainte Marie Gastronomia ,3.9,(15 Opiniões),Refeições casuais,"Libanesa, Árabe",R$ 120,Vila Sônia
14,Bistrot de Paris ,3.9,(8 Opiniões),Refeições casuais,Francesa,R$ 200,Jardim Paulista
15,Jam ,3.9,(11 Opiniões),Refeições de luxo,"Sushi, Japonesa",R$ 300,Jardim Paulista
16,Tanit ,3.9,(8 Opiniões),Refeições casuais,"Espanhola, Tapas",R$ 200,Jardim Paulista
17,Più ,3.9,(4 Opiniões),Refeições casuais,Italiana,R$ 200,Pinheiros
18,Maní ,3.9,(34 Opiniões),Refeições de luxo,"Autor, Fusão, Brasileira",R$ 300,Pinheiros
19,Fasano - Hotel Fasano ,3.9,(12 Opiniões),Refeições de luxo,Internacional,R$ 500,"Hotel Fasano, Jardim Paulista"
20,Les 3 Brasseurs ,3.9,(31 Opiniões),Bar,"Francesa, Brasileira, Bebidas",R$ 120,Itaim Bibi
21,Barbacoa Churrascaria ,3.9,(16 Opiniões),Refeições de luxo,Churrasco,R$ 250,Itaim Bibi
22,Coffee Lab ,3.9,(35 Opiniões),Café,Pastelaria,R$ 40,Vila Madalena
